الجماال	الجمال
السفر…	السفر
ومصنوع	مصنوع
لاختيار	اختيار
برس|	برس
‏​لن	لن
قَرب	قرب
إثر	اثر
٦قطعه	قطن
مفاجئ،	مفاجئ
سهولةة	سهولة
بدعم	دعم
خااااص	خاص
سفنية	سفينة
الفخد	الكتف
لموقف	موقف
لاسم	اسم
الخلف❗	الكتف
تِسعة	تسعة
ماتناسب	تناسب
عبوس،	عبوس
عبور💙	عبور
السؤال،	السؤال
إستعمال	استخدام
ولينة	لينة
ألفف	الف
الغالب	غالبا
وتجربة	تجربة
فتره	فترة
معيّن	معين
مسألہ	مسألة
بتوفير	توفير
الماضي،	الماضي
شَمس	شمس
آسفل	أسفل
ألف…	ألف
ألحكم	الحكم
مفاجىء	مفاجئ
لماا	لما
آمينّ	آمينَ
قوول	قول
ايادي	يد
شكراً	شكرا
بِذرة	بذرة
هماا	هما
‏تريد	تريد
طووويل	طويل
لساحبة	سحابة
وطالما	طالما
الطريق	المسار
شرعه	شرع
مركز	فرع
وستحدث	وتحدث
،،كي	كي
حقيقية…	حقيقية
دخولهم	دخول
آلكثير	الكثير
أكثرمن	أكثر
“كم	كم
سجّل	سجل
ارآد	أراد
إياكَ	إياك
المعنئ	المعنى
عزيرتي	عزيزتي
اﻻت	لات
الانف	الأنف
مفأجاة	مفاجأة
صحيح…	صحيح
الكلاام	الكلام
المواجهة	المعركة
السرعة”	السرعة
ﺎلنظر	النظر
ﺎنيق	أنيق
تحدث	وتحدث
واثار	أثار
التاري…	التاريخ
انہا	انها
أمامكك	أمامك
لمشهد	مشهد
حَول	حول
برّي	بري
،وكانت	وكانت
،لاحول	حول
‏‏ما	ما
اعطئ	أعطى
الجيراان	الجيران
بي؟	بي
سميگ	سميك
المثالي،	المثالي
اسفاط	إسقاط
الثالث	الأول
«بعد	بعد
وحيدآ	وحيد
بميزة	ميزة
،وكان	وكان
بمجموعة	مجموعة
الاشنابوجانا	الرجال
صناعت	صناعة
مباااشرة	مباشرة
قطاعي	قطاع
بقيةْ	بقية
لديهم	لديه
حرُ	حر
أبقـى	أبقى
نِتاج	نتاج
فنَ	فن
معطَفِ	معطف
سبباً	سبب
عّد	عد
المغزى	المعنى
القياام	القيام
الأوّل	الأول
وموقف	موقف
،وهي	وهي
هُن	هن
وإيّاكم	إياكم
اوراق	ورقة
شخصاُ	شخصا
فرصة…	فرصة
مطالبتها	السماح
سنةة	سنة
تاسعا	رابعا
يفزعني	مفزع
كتشاف	اكتشاف
فااخر	فاخر
إليككك	إليكما
أنتَ	أنت
الطريفة	الشهيرة
الأسنان	أسنان
أنابيب	أنبوب
خطوة…	خطوة
بك💖	بكن
عليها❤️	عليها
ترسل	أرسلت
ويسطع	ساطع
إليکَ	إليكَ
طآلما	طالما
الّذين	اللذين
بمَن	بمن
بالقيام	القيام
حفظِ	حفظ
خارح	خارج
وسجل	سجل
رفيع”	رفيع
قلبِ	قلب
سقوط	إسقاط
فترهہ	فترة
وهو…	وهو
لجبل	جبل
اينما	حيثما
صرخةُ	صرخة
بكلتا	كلتا
سمعتُ	سمعت
دام	مادام
الأولى…	الاولى
ھادئ	هادئ
سبعة	تسعة
ررركض	ركض
أعطَى	أعطى
السنور	القط
خلقَ	خلق
حالةة	حالة
حِلو	حلو
الوصول…	الوصول
دفع…	دفع
خييير	خير
مشكل…	مشكلة
لأرض	أرض
القليل🌹	القليل
المصطلحان	اللذان
الحشدالشعبي	الحشد
حقيقية،	حقيقية
أبد…	أبدا
آلعبارة	العبارة
ثمَ	ثمّ
بهواء	هواء
معركة	المعركة
ومقدس	مقدس
انهإ	انها
يتم	تم
تلگ	تلك
جوله	جولة
عقوبات	عقوبة
••إن	إن
قانون	القانون
امراة	سيدة
أدات	أداة
قولً	قول
،لو	لو
النساﺀ	النساء
يوافق	توافق
تسلكهعليك	كليكما
مشارف	حافة
كااد	كاد
اكشاف	اكتشاف
خاج	خارج
دقيقتين	دقيقة
،تواصل	تواصل
العليل♡	عليل
قدمو	قدم
مريب	مخيف
ركوبه	ركوب
ايضاء	ايضا
مقاابل	مقابل
خياالي	خيالي
سامج	بايخ
بالجنوب	الجنوب
؛البعض	البعض
لك✨	لك
ترليون	مليون
دولتنا	دولة
اياام	ايام
قطعةٌ	قطعة
الأرقام…	الأرقام
صباحأ	صباحا
اربك	أربك
المناسب	المثالي
مليون	مليار
الذهب…	الذهب
ومحتاج	محتاج
ااخر	آخر
آيّ	أيّ
الرياضات	السباحة
الكثييير	الكثير
الأسبوع	الموسم
حرباً	حرب
اسفل	أسفل
مكروة	مكروه
باسمه	باسم
هيااااا	هيا
‏ومن	ومن
وُصف	وصف
مواقف	موقف
سعيدة،	سعيدة
اللّذين	اللذين
لايطير	يطير
إينما	حيثما
الدولة	دولة
بطاقه	بطاقة
الحانب	الجانب
اسسم	اسم
آلعين	العين
عسا	عسى
وخلال	خلال
بصوٺ	بصوت
بغرفه	غرفة
له💞	له
أمامي	أمامك
بقيہ	بقية
مجاس	مجلس
لابد	يجب
احمر؟	أحمر
سير|	سير
ماصار	صار
الشرق،	الشرق
‏​لم	لم
ارجو	الرجاء
الشعر،	الشعر
أينما	حيثما
ملامسة	لمس
اتنين	اثنين
بحفظ	حفظ
دقيقه	دقيقة
رطباً	رطب
وكآن	وكان
صوره	صور
لوضع	وضع
الصمّت	الصمت
طوييييل	طويل
مرروي	مروع
👈راقب	راقب
علب	علبة
الحارّه	الحارة
؟؟لماذا	لماذا
سبعة	أربعة
السبب…	السبب
ونتمنى	نأمل
السرعة،	السرعة
لمّاا	لمّا
به💜	به
أمراة	امرأة
نفسه🌷	نفسه
أمرأة	امرأة
يعقد	عقدت
نبتة	بذرة
ووسيم	وسيم
كـي	كي
الموسيقئ	الموسيقى
طالماً	طالما
اجل…	اجل
“كلا	كلا
رمى	رمي
تحديد	حدد
إذا؟قال	إذاً
اضافه	إضافة
آداة	آلة
دونك،	دونك
حلـم	حلم
البعض،	البعض
خلف…	خلف
،نظيف	نظيف
؛وفي	وفي
تَعلم	تعلم
يد	بيد
💞إن	إن
العمل؛	العمل
بنامن	بنا
علبہ	علبة
ربطه	ربطة
تمرّ	تمر
ثم	ثمّ
يحطم	حطم
عشّر	عشر
عسىَ	عسى
قدمت	قدم
جبال	جبل
المااضي	الماضي
قَول	قول
النار💗	النار
يرجع	رجع
شديدة	شديد
أنه	انه
الدعم	دعم
وتطوير	تطوير
مُباراة	مباراة
الكُل	الكل
مُشابه	مماثل
فكرة…	فكرة
مكروه🌹	مكروه
عليها”	عليها
جواب	الجواب
_قد	قد
أنتي	أنتن
يحرق	حرق
آميينّ	آمينَ
الحرب	المعركة
ان	أن
االبعض	البعض
مباااشر	مباشر
اياه😢	إياهن
مؤلمٌ	مؤلم
الماضي،،،	الماضي
فمہ	فم
طريقةة	طريقة
بطايق	بطاقة
لشارع	شارع
‏اذا	اذا
مذكره	مذكرة
تنمُو	تنمو
الرجال”	الرجال
احمر،	أحمر
مساندة	مساعدة
ثمَّ	ثمّ
الفرَح	الفرح
فأين	أين
يذهب	ذهب
مُخزي	مخزي
كُلّما	كلّما
بابَ	باب
هاائل	هائل
،وقال	وقال
لجدار	جدار
وحيَّ	حيَّ
التزلج	السباحة
مواضيع	موضوع
عِند	عند
انخفض	ارتفع
تفسه	نفسه
الحاااره	الحارة
علامة…	علامة
حرررف	حرف
بك💞	بك
،لولا	لولا
ماسمح	سمح
الكريم،و	الألى
رئيسيّ	رئيسي
وااا	وا
صيف	الصيف
عمييق	عميق
يقوم	قام
وضمن	ضمن
لائحة	قائمة
حّر	حر
بحث…	بحث
تحصل	حصلت
اذاً	إذن
بعد…	بعد
مريض،،	مريض
طلاب	طالب
آﻵقل	الأقل
غريب	عجيب
التقريبي	المثالي
حححلم	حلم
الردارات	السرعة
بإرسال	إرسال
سقطت	سقط
يحتاجون	تحتاج
الحُب	الحب
مااذا	ماذا
اعطى،	أعطى
ممارسته	ممارسة
المائه	المائة
وشديد	شديد
فيھا	فيها
يكلم	كلم
“حفظ	حفظ
رميه	رمية
أعنتهأوحزين	حزين
خيالك	خيالي
اذن	إذن
وملح	ملح
الرجآل	الرجال
مِمَن	ممن
خخلق	خلق
بعيداً	بعيدا
كاملةً	كاملة
سنوات،	سنوات
أسفلِ	أسفل
المقبل،	المقبل
كوكوب	كوكب
آلفضاء	الفضاء
كريم،	كريم
سخيف	ظريف
مصلحه	مصلحة
الأول…	الأول
أخ،	أخ
الفرصة	فرصة
أتصال	اتصال
خاائف	خائف
الذهب،،	الذهب
أثر	تأثير
هوه	هو
لشراء	شراء
مزعج،	مزعج
الصبآح	الصباح
أليـم	أليم
‏​قبل	قبل
الفريقيان	اللذان
عسئ	عسى
لحضة	لحظة
ربمآ	ربما
مُزعج	مزعج
الممال	المال
الأولى	الاولى
هم…	هم
إِثم	أثم
منحووس	منحوس
بطئيه	بطيئة
ومقعد	مقعد
آلفرح	الفرح
والربيع	الربيع
اسمراني	أسمر
البقية	بقية
التاسعة	الثانية
بالاستماع	استمع
إثم،	أثم
لـعمر	لعمر
بشكلاً	بشكل
لكنَّما	لكنَّما
‏عائلة	عائلة
بمحطة	محطة
أولئكَ	أولئك
فرص	فرصة
اربعة	تسعة
ملللح	ملح
الأصبع	إصبع
شخِص	شخص
خـلا	خلا
إيّاها	إياها
​بين	بين
،بل	بل
حلصت	حصلت
كتله	كتلة
گثيرا	كثيرا
وحدد	حدد
الليوم	اليوم
مباراتي	مباراة
منذ…	منذ
بسرعة…	بسرعة
🍃كل	كل
شكوى	دعوى
شااق	شاق
القراص	الجذر
مفتوح	مفتوحة
مكانتس	مكانكم
واجرامي	وحشي
عضوان	عضو
الصييف	الصيف
حزيں	حزين
الجاانب	الجانب
تُبدّل	تبدّل
نصف…	نصف
سعيدةة	سعيدة
والشباب	الشباب
مقتل	قتل
لونعبر	لون
تهمناتواصل	تواصل
مُذ	مذ
خرائط	خريطة
شي	شيء
الحكم…	الحكم
‏هناك	هناك
‏ألا	ألا
طلبة	طالب
ككككل	ككل
اللعبة	لعبة
الﻵتي	اللاتي
بضعِ	بضع
اللفة	لفة
مذ	منذ
‏​هل	هل
فيه💛	فيه
هاؤلاء	هؤلاء
بشكلا	بشكل
منعرج	منعطف
زهرةة	زهرة
بركن	ركن
وجلبت	جلبت
رئيسي…	رئيسي
أميــــن	آمينَ
باضيفه	حاي
عاجل🔴وكالة	لوكالة
تيار	التيار
تافة	تافه
خيـالي	خيالي
تهمتي	تهمة
الاضد	ضد
شجرة،	شجرة
ااذن	إذن
دعوهـ	دعوة
وكتلة	كتلة
مسألـۃ	مسألة
إشترى	اشترى
تحسّين	تحسين
مشرقا	مشرق
الذّهب	الذهب
امرأه	امرأة
تسلّق	تسلق
كتبت	كتب
كذا☺	كذا
طوووول	طول
يكووون	يكون
القدم”	القدم
العمر،	العمر
‏عندما	عندما
،،أما	أما
نظيفة	نظيف
سابقة…	لاحقة
«أعظم	أعظم
رُب	رُبَّ
خاطئ…	خاطئ
ألان	الان
وعين	عين
مُعطف	معطف
لَيتَ	لَيْتَ
الميتتان	اللتان
الوزن؟	الوزن
أخٌ	أخ
أعظ…	أعظم
اعاده	اعادة
اللذي	الذى
بعييييد	بعيد
عليهاا	عليها
النسساء	النساء
أضافه	إضافة
فاضح”	فاضح
اقضل	أفضل
صاار	صار
سريعة	بطيئة
جناج	جناح
العرض…	العرض
ميّت	ميت
لمآ	لمّا
جدأ	جدا
أياه	إياه
وغسل	غسل
​عند	عند
وتقرر	تقرر
إنبوب	أنبوب
أرتفع	ارتفع
متىى	متى
فضيع	شنيع
اللغه	اللغة
مثالى	مثالي
وانتم	أنتم
عن…	عن
هادىء	هادئ
شخصاً،	شخصا
كلتاا	كلتا
عائلات	عائلة
وقصير	قصير
بمزرعة	مزرعة
قاااع	قاع
ذرةً	ذرة
تكلم	كلم
ابتدى	ابتدأ
نوووم	نوم
بنهاية	نهاية
شَآءَ	سَاءَ
باارد	بارد
بالرد	الرد
العبارهہ	العبارة
سعيده	سعيدة
الرّياح	الرياح
مُطْمَئِنَّه	أَنَّ
اناقة	أناقة
أرضّ	أرض
فيالمنزل	المنزل
خخيالي	خيالي
برفع	رفع
شاحنتين	شاحنة
القطوو	القط
نهاي…	نهاية
ودخول	دخول
علامات	علامة
❤️لم	لم
بختلف	اختلف
تافہ	تافه
الجَمال	الجمال
رتفع	ارتفع
وَصَرَّفْنَا	هَيْهَاتَ
الأموال	المال
ﻻزال	مازال
اللائى	اللاتي
ثمَّة	ثمّة
السرعه😂	السرعة
اقوول	أقول
منخض	منخفض
سيء	جيد
الاول	الأول
مُتأسفه	متأسف
الجص	الطلاء
فضييييع	فظيع
ونعم	نعم
بأرض	أرض
كريم…	كريم
القطو	القط
حادفي	حاد
ثٌم	ثمّ
كهربائي،	كهربائي
عمود…	عمود
ناتج	نتاج
يكتب	كتب
الدولا	الدولار
تُناسب	تناسب
بمتجر	متجر
الإ	إلا
مروري	مروع
ضؤ	ضوء
اتريا	انتظر
وصوله	الوصول
عشَر	عشر
متوحش	وحشي
آسف	أسف
ظعف	ضعف
شبهـ	شبه
بآل	بال
يَاأيُّهَا	لَسْتُنَّ
أسمراً	أسمر
مشغُول	مشغول
انتِ	أنتِ
ألفَ	ألف
ثاتي	ثان
اصباع	إصبع
معآ	معا
تمام…	تماما
اسفة	آسف
وباب	باب
عدد…	عدد
التربه	التربة
عظيم،	عظيم
غضـب	غضب
الركوب	ركوب
انة	انه
الغابة	الغابات
بتمثيل	تمثيل
الاخضر…	الأخضر
حُفره	حفرة
نافذه	نافذة
ايسر…	أيسر
الأصفر	الأزرق
‏​اذا	اذا
خامسا	رابعا
الحراك	التيار
ننتظر	انتظر
وحيدا	وحيد
تماماً	تماما
هيااا	هيّا
واي	إي
إختبار	اختبار
ميت،	ميت
نجااح	نجاح
آلقليل	القليل
وذهب	ذهب
عملى	عملي
ذاگ	ذاك
تواص…	تواصل
أليكم	إليكم
ونادم	نادم
وكلم	كلم
به✨	به
سنہ	سنة
ملكه	ملكة
؟ها	ها
ﺎلف	ألف
ألّا	ألا
وهيا	هيا
هيئہ	هيئة
وكان…	وكان
الاموال	المال
باالاحرى	بالأحرى
إياها﴿و	إياهما
هُما	هما
الفئة؛	الفئة
تفاحهه	تفاحة
بطط	بط
بسَ	بسّ
بذئ	بذيء
الصّباح	الصباح
ذأ	ذا
بفريق	فريق
طآئر	طائر
الشرآع	الشراع
عقبري	عبقري
الفضَاء	الفضاء
وإقامة	إقامة
يطالب	مطالبة
مصلحته	مصلحة
مشغوووول	مشغول
الحركة،	الحركة
والتي	التى
عليك،	عليك
بارتداء	ارتداء
نقيبة	نقيب
قريباً	قريبا
مُقدس	مقدس
مليحح	مليح
تذهب…	تذهب
رهييييب	رهيب
سريييع	سريع
الانخفاض	الارتفاع
رطبآ	رطب
الوحيدتان	اللتان
الصباح،	الصباح
طب_الاسنان	أسنان
وقطار	قطار
نفسهه	نفسه
سألبي	تلبية
رُبٓ	رُبَّ
بيرتفع	ارتفع
واختر	اختر
الفاكهه	الفاكهة
الآن…	الآن
فاضح🌸🍃	فاضح
وعلق	علق
شديد،	شديد
عاجلوصول	وصول
به💕	به
منحيث	حيث
مفجع	مفزع
مميزات	ميزة
لكم…	لكم
فيه💕	فيه
أينمَا	أينما
متطابق	متوافق
يحصل	يحدث
النتيحة	النتيجة
الفضاء…	الفضاء
كلآهما	كلاهما
دونك…	دونك
هذاء	هذا
افضل	أفضل
تضرب	ضرب
اﻷول	الأول
أبتداء	ابتدأ
الخاصه	الخاصة
حُلم	حلم
أسم	اسم
گان	كان
مولم	مؤلم
وأنتن	أنتن
أكتشاف	اكتشاف
أيضا	ايضا
قطع	قاطع
باطلمقتبس	باطل
ملكة	ملك
ومنحدر	منعطف
«تطوير	تطوير
فيه…	فيها
آلصمت	الصمت
غربب	غريب
نغمت	نغمة
معهد	مركز
واسم	إسم
اخر	آخر
فعل”	فعل
مرعب	مزعج
غتيت	كتكوت
،،إما	إمّا
الآول	الأول
بقيادة	قيادة
وأسود	أسود
ومثير	مثير
الجليد،	الجليد
شغا	شغل
فخخخخم	فخم
شآق	شاق
غداً	غدا
بناوي	نادم
رطــب	رطب
۞گلا	كلا
وأخذ	أخذ
اخت	أخ
فهلّا	هلّا
الشرع؟	شرع
حصتين	حصة
ممَّا	مما
حسّاس	حساس
عقله	عقل
ومحطة	محطة
به💗	به
فيه…	فيه
مفتوحة…	مفتوحة
تتحول	تحوّل
الكبری	الكبرى
المال؟	المال
إلا…	إلّا
احتدمت	اشتعلت
الدورة_الشهرية	الولادة
،سمع	سمع
صبآح	صباح
سيِّد	سيد
خير😂	خير
💙♥💙رقص	رقص
ثلجة	ثلج
هٰذه	هذه
الكلااام	الكلام
ذآك	ذاك
ARGهيا	هيّا
يعَتقد	يعتقد
•دعم	دعم
يحدث	تحدث
أَصبح	أصبح
سلبي؟	سلبي
بٲن	بان
الاوتستراد	الساحل
للجليد	الجليد
بسيطه،	بسيطة
منزله	منزل
مساعده	مساعدة
يضع	وضع
صوت…	صوت
بآرد	بارد
القانون؟	القانون
هيأة	هيئة
بسهولة	سهولة
حتي	حتى
حديقه	حديقة
إياه،	إياه
بريي	بري
التفاحة	تفاحة
لرفع	رفع
امتيااز	امتياز
بالبنك	البنك
ماتغسلين	غسل
مجمع	مركز
شدي…	شديد
عصئ	عصا
،حسب	حسب
بااااهر	باهر
رآئحه	رائحة
جدااااا	جدا
سيتم	تم
رفـع	رفع
جريدةالشرق	الشرق
لونها	لون
كل…	كل
اﻷساسية	الرئيسية
فكرةأن	فكرة
إين	أين
قريبًا	قريبا
محابه	محبب
صفر😂	صفر
جزء…	جزء
يحدثُ	يحدث
العصبونات	الضوضاء
فوُق	فوق
مٌباراة	مباراة
الاخضر	الأصفر
كتآب	كتاب
تسجبل	تسجيل
منحه	منح
وعضو	عضو
لقطاعي	قطاع
ثور	بقرة
ومكانهم	مكانكم
هذة	هذه
فقط؟	فقط
المحيط،	المحيط
العين”	العين
أحذَر	حَذارِ
رائي	رأي
خصوصا	خاصة
وقريبا	قريبا
هـب	هبّ
تَحمل	تحمل
ي	يا
البشرة	الجلد
عجلّ	عجل
اللهلئن	لئن
النّار	النار
نجاح…	نجاح
حوالي	حوالى
وإضافة	إضافة
الخلل	خلل
عشب	العشب
قصيير	قصير
الواضح	واضح
التجُربة	التجربة
فِكرة	فكرة
مقدع	مدقع
نتحدث	تحدث
ككذا	كذا
الوقـت	الوقت
علـــــق	علق
نفسه”	نفسه
دخو…	دخول
وورق	ورق
ومكانكم	مكانكم
،وتطالب	مطالبة
باأن	بان
أذا	إذا
الأحد	السبت
هون🌼	هن
ممِا	مما
لہا	لها
بعيدأ	بعيدا
ذو	ذوا
وقفت	وقف
الحزب…	التيار
إيّاي	إياي
مثيررر	مثير
يفوق	تفوق
مروّع	شنيع
آطار	إطار
بعدرحلة	رحلة
حلوووو	حلو
شبة	شبه
عليهآ	عليها
معارك	المعركة
مستوى…	مستوى
أمآ	أما
اسود…	أسود
الابن	الأب
إعادة	اعادة
للطبيب	الطبيب
هؤلا	هؤلاء
هزيلٌ	هزيل
ذاتَ	ذات
حطمت	حطم
رهيب	خرافي
دونك؟	دونك
دقيقٌ	دقيق
طويييل	طويل
انتما	أنتما
الاولى	الثانية
سمعتّ	سمعت
ومنذ	منذ
دولة؟	دولة
ظلَ	ظلّ
أستغرق	استغرق
الإرتفاع	الارتفاع
الرسا…	الرسالة
ااالف	الف
لخارج	خارج
امرأة	سيدة
بسباق	سباق
دوني،	دوني
ضعف،	ضعف
الا	إلّا
مـاء	ماء
وجَه	وجه
وكذلك	كذلك
لعبنا	لعب
قطارات	قطار
•زجاج	زجاج
قادره	قادرة
مسگين	مسكين
غرف	غرفة
ورئيس	رئيس
الازيب	الرياح
احراق	حرق
اللغةالعربية	اللغة
بالتأكيد،	بالتأكيد
بالآحرى	بالأحرى
لمدينة	مدينة
عـوض	عوض
النارجيل	الخشب
أنـاقة	أناقة
إيّاهم	إياهم
حدثَ	حدث
سيئةً	سيئة
بمنْ	بمن
ومخيم	مخيم
الماء	ماء
يوكد	اكد
المدارس	المدرسة
يحقق	تحقق
هواء…	هواء
سنواات	سنوات
بدآية	بداية
جِدار	جدار
ومفتاح	مفتاح
ثمَّة	ثمّة
صحافه	الصحافة
اتسلق	تسلق
ضهر	ظهر
مُضاعفة	مضاعفة
وشقيقة	شقيق
لتطوير	تطوير
مشابه	مماثل
فاااضح	فاضح
أشعارٍ	إشعار
آلجلوس	الجلوس
ركن\/	ركن
علﮮ	على
ونظام	نظام
“أما	أمّا
تفقد	فقدت
لخريطة	خريطة
لقـمة	لقمة
العن	ملعون
ملك…	ملك
مضاعف…	مضاعفة
والرياح	الرياح
كثي…	كثير
كلتآ	كلتا
كُره	كره
لتيار	تيار
👈ولا	ولا
قريب💜	قريب
لاتطلب	تطلب
بشكل…	بشكل
مستعمرات	مستعمرة
أمتداد	امتداد
ﺂمين	آمينَ
إلآ	إلّا
التحصل	الحصول
تذگر	تذكر
و9	و6
عام،	عام
مكانهم	مكانكم
هَذه	هَذِه
ألاّ	ألا
وأم	أم
باقترح	اقترح
،أما	أمّا
وللمزاليج	مزلاج
ميثال	مثال
الصفحـه	الصفحة
تِلك	تلك
النار✨	النار
انتو	أنتم
لكم،	لكم
أياام	ايام
مُقزز	مقرف
هَذَا	هَذا
محاولات	محاولة
،لما	لما
هلاَّ	هلّا
قصِير	قصير
تُريد	تريد
مليو…	مليار
وحمل	حمل
عاامة	عامة
ألحب	الحب
،،وفي	وفي
الجبهههه	الجبهة
صديقه	صديق
خطر…	خطر
الإيجابى	السليم
حلمّ	حلم
مهارت	مهارة
أمسىَ	أمسى
لعلم	علم
عظيّم	عظيم
الإعلام	الصحافة
ذالكم	ذلكم
لعائلة	عائلة
يائس؛	يائس
مسااء	مساء
يتوقع	توقع
وذراعها	الذراع
سلک	سلك
وگانت	وكانت
🌸مع	مع
الفرقة	فرقة
أيضاً	أيضا
بى	بي
والى	الى
،إمّا	إمّا
السّبب	السبب
​طريقة	طريقة
🔴مجلس	مجلس
نتايج	نتيجة
بالتأكيد	بالطبع
،،أما	أمّا
​قبل	قبل
عنصرمن	عنصر
،ان	ان
كنجمة	نجمة
حرب،	حرب
مؤسفٌ	مؤسف
مكانه	مكانكم
ذره	ذرة
طير	طائر
حيء	حي
الأمة،	الأمة
إلا	إلّا
دبي_اليومدراسة	دراسة
تختلفُ	تختلف
الازرق	الأصفر
الاستلقاء	الجلوس
انشودة	قصيدة
تسسجيل	تسجيل
بيكون	يكون
ديگ	ديك
تحّت	تحت
فأن	فان
والحكم	الحكم
كا	ك
كبير…	كبير
دنيئ	دنيء
متتع	ممتع
المواد…	المعادن
لمتجر	متجر
الجلد…	الجلد
حكومة	دولة
هاذا	هذا
•وحده	وحدة
الحديث،	الحديث
مسآعدة	مساعدة
قصير،	قصير
شعر…	شعر
ومجموعة	مجموعة
مُخزٍ	مخز
التربة،	التربة
ذي	ذِي
ممّا	مما
،بعد	بعد
طاقن	طاق
👈ان	ان
ووحشي	متوحش
وكما	كما
عربة	عجلة
وابغض	أبغض
مقعد…	مقعد
بأسم	باسم
كرة…	كرة
فاان	فان
هناااا	هنا
مدرسته	المدرسة
قائلا	وقال
بالوقوف	الوقوف
سعِيدة	سعيدة
الرئيسيّة	الرئيسية
إحسـاس	إحساس
العقوب…	عقوبة
ورتّب	رتب
المعنی	المعنى
الجنية	الجنيه
السيطرة…	السيطرة
أي	أيّ
كآن	كان
ضد…	ضد
خخلف	خلف
التعليم	تعليم
العكس…	العكس
مدقع،	مدقع
والغرامة	غرامة
‏​لما	لما
سيئه	سيئة
يووجع	موجع
مساءا	صباحا
طآلب	طالب
‏السبب	السبب
وقفتو	وقفت
لعمرو	لعمر
رجعت	رجع
هُنَّ	هن
مغناطيسا	مغناطيس
فتااة	فتاة
والذرة	الذرة
قادرهـ	قادرة
طبيعيي	طبيعي
ورمل	رمل
اصقاط	إسقاط
بآهر	باهر
سنووات	سنوات
كثيراً،	كثيرا
بـصوت	بصوت
فسّتانٌ	متأنق
قب…	قبل
هيااااا	هيّا
وأنتم	أنتم
قلبل	قليل
به…	بها
بمنّ	بمن
عندماا	عندما
خطوات	خطوة
وسحب	سحب
إلا…	إلا
الركن	ركن
منحووووس	منحوس
أداةً	أداة
قصّة	قصة
سيطرته	السيطرة
يعطي	أعطى
تحقيق	تحقق
‏هي	هي
بصووت	بصوت
غضب…	غضب
كريييه	كريه
ماده	مادة
لقرية	قرية
سوئ	سوى
يلقي	تلقي
حقيقي…	حقيقي
ألف	الف
بگم	بكم
الكلام”	الكلام
الفكرة	فكرة
لمزيج	مزيج
مهاره	مهارة
لإعادة	اعادة
انتم	أنتن
اختـر	اختر
حبل،	حبل
والجنوب	الجنوب
بيّ	بي
أعلي	أعلى
‏يوم	يوم
أنقلب	انقلب
قامو	قام
عامة،	عامة
ساعةة	ساعة
عواقيبارفق	واهاً
بطيء	بطيئة
حساااس	حساس
إياها	إياهم
حصتها	حصة
خدمه	خدمة
نعم…	نعم
مظلوووم	متفوق
‏بعض	بعض
يحدث	حدث
السفر”	السفر
﴾ربَّ	رُبَّ
الزروع	التربة
رائيس	رئيس
بشرع	شرع
ثلوج	ثلج
انتي	أنتِ
بسوق	سوق
قاعِ	قاع
إياگ	إياك
سوىٰ	سوى
يطـير	يطير
ٺخٺلف	تختلف
سمآوي	سماوي
خطط	خطة
اليكم	إليكم
‼️والمصنع	مصنع
عظيمم	عظيم
بارد…	بارد
بااارع	بارع
مذكرتين	مذكرة
قبعہ	قبعة
،،كم	كم
،حقيقة	حقيقة
رد	الرد
أعطئ	أعطى
نصفُ	نصف
،أنت	أنت
فستااان	فستان
_كل	كل
قكرة	فكرة
المووت	الموت
هذهـ	هذه
لفہ	لفة
ممك	ممكن
أيّ	اي
إختر	اختر
مذکرة	مذكرة
لديهم	لدى
الذي…	الذي
اﻻن	الان
قاموسها	قاموس
تُبدل	تبدّل
لحديقة	حديقة
عضوا	عضو
1لا	لا
العمـر	العمر
مهاراة	مهارة
إلَيْكَ»	إلَيْكَ
اخري	اخرى
لعبت	لعب
معلون	ملعون
الحروب	حرب
رحله	رحلة
الطبيبو	الطبيب
مفاجئة	مفاجأة
،،ياكبر	مابرح
آياه	إياه
كئيييب	كئيب
التسجيل	تسجيل
لاقامة	إقامة
وححده	وحدة
العقوبة	عقوبة
“حين	حين
الأغنية	أغنية
بآن	بان
واقعية	حقيقية
محاسبة	مساواة
بالبحث	البحث
‏اثر	اثر
؛عدد	عدد
متسق	متوافق
برودة	حرارة
كبيير	كبير
‏بحيرة	بحيرة
فقدنا	فقدت
فستبدو	يبدو
وافقت	توافق
مرتفع	منخفض
بكك	بك
نفسة	نفسه
مؤجع	موجع
خاصةً	خاصة
،قاطع	قاطع
لمّا	لما
مكانها	مكانكم
خطيرررر	خطير
أن	ان
رَطبًا	رطب
آمينٌ	آمينَ
آاي	إي
نحِس	نحس
وشركة	شركة
العقوبات	عقوبة
؛الذي	الذي
بقيه	بقية
لذيد	لذيذ
‏وان	وان
قرا	قرأ
ترک	ترك
‏مهما	مهما
المئة	المائة
بمصلحة	مصلحة
وأقول	أقول
ميب	مهيب
ستة	تسعة
الكهرباء	الغاز
الرببع	الربيع
ونأمل	نأمل
ثقلية	ثقيلة
مسالة	مسألة
بااايخ	بايخ
لإثبات	إثبات
آثم	أثم
بقرية	قرية
جععل	جعل
المنزلاللهم	المنزل
بالطابق	الطابق
نافذةُ	نافذة
الثالثة	الاولى
اجابي	إيجابي
اللاتي	اللواتي
positive_emoji0ظهرا	ظهرا
وصار	صار
رهيييب	رهيب
تُعطل	تعتمد
،اذا	اذا
ٱثار	أثار
مطر”	مطر
